gene_id,replicate1 24h,replicate2 24h,replicate1 48h,replicate2 48h,mock,24h mean,48h mean,mock mean,24h norm,48h norm,mock norm,fold-change 24h,fold-change 48h
ABCG1,2229,2337,1102,1105,2356,2283.0,1103.5,2356.0,0.06475860895217564,0.029596352420544456,0.13292710449108552,-15.150908017454391,-16.28056063062445
ABCG2,46,62,32,30,65,54.0,31.0,65.0,0.0015317410790264933,0.0008314335523669035,0.00366734371473708,-15.372979648713615,-16.254479223715183
ABCG4,3,3,3,2,0,3.0,2.5,0.0,8.509672661258297e-05,6.705109293281481e-05,0.0,inf,inf
ABCG5,17,25,13,18,10,21.0,15.5,10.0,0.0005956770862880808,0.00041571677618345177,0.0005642067253441661,-14.035110009957235,-14.554039505574089
ABCG8,0,0,0,0,4,0.0,0.0,4.0,0.0,0.0,0.00022568269013766644,inf,inf
ABHD1,2,3,8,2,5,2.5,5.0,5.0,7.091393884381914e-05,0.00013410218586562962,0.00028210336267208303,-16.10549933784863,-15.186307721073602
ABHD10,1419,1492,1091,982,2311,1455.5,1036.5,2311.0,0.0412860951948715,0.027799383129945017,0.13038817422703677,-15.772501758193496,-16.34310486443182
ABHD11,2450,1478,2572,1827,2318,1964.0,2199.5,2318.0,0.055709990355704314,0.05899155156229047,0.1307831189347777,-15.344584974540409,-15.26201268616995
ABHD12,1226,1046,1028,903,1040,1136.0,965.5,1040.0,0.032223293810631416,0.025895132090653077,0.05867749943579328,-14.978120031372404,-15.293543085151406
ABHD12B,662,653,477,429,1539,657.5,453.0,1539.0,0.018650365915924436,0.012149658039426043,0.08683141503046717,-16.332429769997177,-16.95071799735558
ABHD13,768,1250,507,537,965,1009.0,522.0,965.0,0.028620865717365405,0.014000268204371731,0.05444594899571203,-15.041174010897716,-16.07278685665916
ABHD14A,183,48,137,113,180,115.5,125.0,180.0,0.0032762239745844444,0.0033525546466407403,0.010155721056194989,-15.745603392762247,-15.712376532741189
ABHD14A-ACY1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ABHD14B,1924,1164,1493,1205,1235,1544.0,1349.0,1235.0,0.043796448629942704,0.03618076974654687,0.06967953058000452,-14.783337627052589,-15.058928414597375
ABHD15,659,501,483,452,613,580.0,467.5,613.0,0.01645203381176604,0.012538554378436368,0.034585872263597384,-15.185333511524478,-15.577228429989384
ABHD16A,1892,1490,1442,1337,654,1691.0,1389.5,654.0,0.04796618823395927,0.03726699745205847,0.036899119837508466,-13.73498521893673,-14.099104427371122
ABHD16B,203,114,164,96,24,158.5,130.0,24.0,0.004495943722698134,0.0034866568325063697,0.0013540961408259986,-12.382122808430378,-12.748902408766304
ABHD17A,1966,1292,1553,1226,481,1629.0,1389.5,481.0,0.046207522550632554,0.03726699745205847,0.02713834348905439,-13.345621533093155,-13.655850685643081
ABHD17B,1558,2079,1253,1187,2165,1818.5,1220.0,2165.0,0.05158279911499404,0.03272093335121362,0.12215075603701196,-15.3571174370071,-16.01379359823744
ABHD17C,1506,1885,1331,1242,2766,1695.5,1286.5,2766.0,0.04809383332387814,0.0345044924232265,0.15605958023019634,-15.811589709973694,-16.290657420490298
ABHD18,420,488,336,276,528,454.0,306.0,528.0,0.012877971294037557,0.008207053774976531,0.02979011509817197,-15.32334496991617,-15.973313997739403
ABHD2,7726,10287,3802,4671,3087,9006.5,4236.5,3087.0,0.25547455607874286,0.11362478208394797,0.17417061611374407,-13.560738249018302,-14.729640334962832
ABHD3,1086,1152,884,778,1659,1119.0,831.0,1659.0,0.031741079026493445,0.02228778329086764,0.09360189573459715,-15.673603187828101,-16.18370122525912
ABHD4,1738,1610,1335,1380,535,1674.0,1357.5,535.0,0.0474839734498213,0.03640874346251844,0.030185059805912885,-13.459810606586796,-13.842966319670387
ABHD5,1215,1598,1015,941,1949,1406.5,978.0,1949.0,0.03989618199353265,0.02623038755531715,0.10996389076957798,-15.576123875791822,-16.181135441379258
ABHD6,881,897,738,679,863,889.0,708.5,863.0,0.025216996652862086,0.019002279737159716,0.048691040397201533,-15.062676478197817,-15.470900427334538
ABHD8,409,288,411,325,138,348.5,368.0,138.0,0.009885403074828387,0.00986992087971034,0.007786052809749492,-13.769008948758376,-13.771270221794758
ABI1,3841,4542,2484,2774,2745,4191.5,2629.0,2745.0,0.11889430986554717,0.07051092932814805,0.1548747461069736,-14.494838857642472,-15.248599728348116
ABI2,2339,2996,1502,1498,2571,2667.5,1500.0,2571.0,0.07566517274635502,0.040230655759688885,0.14505754908598512,-15.0523406769705,-15.963674830524017
ABI3,12,4,5,3,0,8.0,4.0,0.0,0.00022692460430022126,0.00010728174869250368,0.0,inf,inf
ABI3BP,13,25,14,15,20,19.0,14.5,20.0,0.0005389459352130255,0.00038889633901032585,0.0011284134506883321,-15.17949991929241,-15.650254820833393
ABL1,2261,2225,1206,1290,298,2243.0,1248.0,298.0,0.06362398593067453,0.03347190559206115,0.01681336041525615,-12.193453953224521,-13.120074022673514
ABL2,629,849,504,514,759,739.0,509.0,759.0,0.02096216032223294,0.013651602521121095,0.04282329045362221,-15.144024859117946,-15.762741950413371
ABLIM1,7800,10416,5208,6996,9576,9108.0,6102.0,9576.0,0.2583536619958019,0.16365830763041436,0.5402843601895735,-15.177788198655511,-15.836448693438447
ABLIM2,154,98,126,108,62,126.0,117.0,62.0,0.003574062517728485,0.003137991149255733,0.00349808169713383,-14.082415724735588,-14.270139311877074
