,ID_REF,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
8920,ENSG00000147202,15,9,21,11,10,8,17,18,19,20,12,25,21,8,25,59,21
8921,ENSG00000147206,6,10,7,3,0,1,2,11,7,2,1,5,5,4,9,79,26
8922,ENSG00000147223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8923,ENSG00000147224,165,82,286,114,42,72,144,45,114,51,127,115,82,51,179,234,80
8924,ENSG00000147231,0,0,0,0,0,0,1,0,1,0,1,4,4,0,1,2,0
8925,ENSG00000147234,1,0,1,2,0,1,0,1,0,1,1,4,1,2,1,4,0
8926,ENSG00000147246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8927,ENSG00000147251,50,23,57,39,18,48,71,31,64,52,39,114,92,31,107,92,80
8928,ENSG00000147255,4,0,4,4,0,6,6,6,17,5,0,13,8,0,9,13,3
8929,ENSG00000147256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8930,ENSG00000147257,0,1,1,0,1,0,3,1,0,0,0,0,2,1,1,1121,0
8931,ENSG00000147262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8932,ENSG00000147274,461,325,684,614,231,336,649,301,541,377,488,656,526,324,674,1227,373
8933,ENSG00000147316,42,16,79,32,17,33,68,19,51,38,30,79,33,29,85,153,27
8934,ENSG00000147324,57,21,98,301,37,34,57,58,70,79,29,42,43,28,63,67,54
8935,ENSG00000147364,37,48,50,90,30,37,86,32,56,27,43,89,81,16,61,176,79
8936,ENSG00000147378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8937,ENSG00000147381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0
8938,ENSG00000147382,3,25,39,23,62,55,38,22,6,22,96,33,66,28,58,112,35
8939,ENSG00000147383,105,52,257,87,35,42,45,59,57,60,36,52,38,41,55,188,38
8940,ENSG00000147394,60,35,37,45,27,54,53,27,86,43,37,140,91,50,50,297,63
8941,ENSG00000147400,324,149,426,598,446,226,225,373,398,236,217,117,199,164,188,246,133
8942,ENSG00000147403,38859,50170,64644,61527,15301,39083,48063,16028,24282,39313,34625,31938,31957,49487,63687,144562,25656
8943,ENSG00000147408,28,27,51,23,35,68,121,44,53,33,71,44,126,23,131,128,89
8944,ENSG00000147416,626,602,901,773,439,606,951,607,1337,774,526,1893,1154,706,1058,1389,937
8945,ENSG00000147419,65,25,76,80,21,24,43,29,63,55,42,48,49,23,64,131,63
8946,ENSG00000147421,149,129,134,193,101,196,282,115,220,162,213,282,278,143,295,450,229
8947,ENSG00000147432,3,27,4,44,10,11,71,25,24,5,5,10,13,3,12,25,0
8948,ENSG00000147434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8949,ENSG00000147437,18,11,10,22,4,11,26,2,20,16,18,29,42,7,21,68,36
8950,ENSG00000147439,145,100,183,112,87,119,214,82,153,136,169,216,171,139,313,281,137
8951,ENSG00000147443,311,533,356,335,376,671,669,438,594,514,525,892,744,711,986,1645,403
8952,ENSG00000147454,84535,62453,90793,104905,86068,84667,68790,86305,129772,75792,92358,62086,141425,64173,101442,52247,88498
