,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10
CENPBD1,5,3,9,9,12,3,13,7,5,4,6,5,3,2,6,11,5
ODF3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
BET1L,229,135,180,389,209,140,252,450,178,166,107,228,165,96,165,239,125
RPS27,115,75,82,157,104,77,170,457,58,170,120,318,101,83,89,115,129
RIC8A,767,305,334,595,359,338,572,1460,505,518,210,566,471,177,340,476,388
IMP3,277,221,378,377,306,361,460,528,286,288,308,511,144,133,347,410,163
ASB8,321,113,201,237,191,162,334,366,168,210,167,242,287,84,139,331,147
LCN15,6,8,6,17,11,4,8,9,7,2,4,4,9,3,6,9,4
ODF3B,293,246,266,1060,428,301,443,895,411,386,329,534,245,290,346,498,278
DPY19L2,55,15,17,21,26,9,35,40,56,33,16,47,116,6,14,31,15
SPATA31E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR150,4,8,4,6,6,4,3,13,2,1,2,3,2,1,4,9,3
TSPYL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC75B,5,6,1,7,10,5,10,36,7,51,6,78,1,10,3,10,17
DMAP1,133,126,102,242,119,153,202,421,140,192,94,322,160,96,112,155,163
ADAMTSL1,0,0,0,0,0,0,0,0,2,20,0,44,0,1,0,0,0
CALHM5,1,0,0,1,0,0,0,4,1,1,0,3,1,0,0,0,0
IMPDH2,482,399,579,507,570,488,629,1900,417,1077,397,1872,406,279,392,883,349
ALS2CL,60,42,55,38,75,56,60,207,50,30,28,39,41,33,50,133,29
MLF1,10,2,3,0,1,0,1,8,3,31,1,57,3,0,1,1,3
PRSS42,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
NDUFAF3,2379,1924,1630,1018,1428,1515,1292,2926,1278,2042,1046,2873,2540,1608,1411,1862,2293
C2orf69,31,19,19,28,19,10,34,34,25,23,9,27,48,4,12,34,9
GRAMD1C,4,2,2,84,10,5,12,3,11,9,3,25,2,1,1,12,4
STAP2,18,9,4,16,21,22,38,136,8,23,23,63,24,53,22,35,22
ULK4P3,2,0,0,7,2,7,3,5,2,5,2,5,0,1,0,3,0
TWF1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTR3C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSSK6,14,18,24,43,27,15,21,38,7,12,22,41,17,20,13,48,4
BOLA1,94,85,113,111,91,136,145,361,64,156,111,239,41,72,82,148,46
PDE4DIP,32,27,298,257,212,98,204,481,101,84,42,181,90,43,129,190,35
DDX10,62,65,47,37,43,22,64,204,52,65,19,64,44,18,43,41,55
GOLGA8Q,0,0,4,2,3,0,1,2,1,0,0,0,0,1,1,1,0
PPP1R42,0,0,0,0,0,5,0,4,0,4,3,0,0,2,0,0,0
NDUFV2,1146,243,321,518,318,246,543,1029,525,738,377,1378,955,224,210,378,384
AL672207.1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0
DALRD3,308,166,233,289,219,264,359,495,170,218,152,363,221,192,218,290,242
ZNF114,3,1,2,4,0,7,32,32,0,15,1,7,2,1,0,1,23
FAR2P2,0,1,1,21,1,9,4,22,0,0,0,6,1,1,0,2,0
ZNF518B,21,28,29,19,47,10,34,43,26,19,24,19,22,8,20,27,9
AMER3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SPINK6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF366,3,3,1,4,3,1,4,25,3,2,2,1,2,1,3,2,2
LCORL,6,1,6,5,12,1,10,8,4,4,4,11,6,1,3,9,1
PARD6G,2,1,0,2,2,1,4,5,4,6,0,14,2,0,1,2,1
ZNF454,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
SH2B1,193,264,286,436,275,220,410,1218,197,119,71,171,213,112,165,270,123
ENSG00000178193,2,7,1,13,0,2,3,13,1,2,2,3,3,10,1,1,6
ZC3H12D,34,14,87,81,25,20,49,128,25,35,23,43,18,28,39,53,22
VN1R1,0,1,1,5,7,1,1,13,1,3,2,3,2,1,2,2,1
KDELC2,10,8,10,17,11,13,25,118,16,21,5,46,10,6,10,16,8
ENSG00000178206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEC,364,341,319,508,442,268,607,1297,528,207,180,394,306,247,289,477,258
