,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10
CAP1,3183,1963,1676,3905,2357,1664,3384,3988,2233,1486,1282,2354,1666,1231,1294,2478,1962
PPT1,533,122,261,708,70,103,474,826,205,147,336,172,307,212,218,184,359
RAB11FIP4,154,66,121,225,152,67,196,119,178,40,82,69,31,43,61,78,24
RLIM,29,19,25,53,35,16,43,49,32,24,19,31,23,9,23,35,12
CDX4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,216,67,74,33,75,27,83,130,51,59,46,141,99,14,23,70,31
TRAF3,80,34,100,126,73,42,130,241,72,77,37,128,44,43,65,80,17
HAUS8,37,24,31,64,55,33,60,137,29,97,32,150,55,34,16,42,50
ADGRE3,208,172,134,641,265,160,295,155,327,161,140,150,123,105,163,296,128
MRPS25,243,153,290,365,281,205,348,714,147,203,160,415,224,132,183,292,97
SH3BP5,266,168,231,357,230,153,308,643,230,170,142,239,191,95,174,222,151
HACL1,80,54,69,58,57,27,64,150,33,93,53,177,53,31,34,64,27
TBC1D5,42,54,34,108,58,18,59,125,48,27,21,52,32,28,22,54,73
CAPN7,90,44,88,154,56,44,113,194,84,47,28,95,86,40,104,121,61
RFTN1,154,161,226,350,263,150,267,469,173,203,115,319,161,62,161,297,58
C3orf20,1,1,0,2,2,1,1,1,0,0,0,0,0,0,1,0,0
RBSN,36,15,23,71,44,25,70,50,20,43,8,73,55,9,24,36,14
GALNT15,9,0,1,13,1,0,3,17,3,0,0,0,1,0,0,3,0
SLC6A6,61,34,29,639,143,61,144,124,236,21,13,62,105,47,99,101,62
KCNC3,5,9,9,35,9,7,10,56,12,4,4,4,8,6,9,8,8
NAPSA,10,14,23,25,13,9,12,51,11,6,3,5,6,3,9,25,2
NAPSB,353,394,666,240,632,546,511,1273,410,245,600,477,246,141,545,723,274
NR1H2,753,521,302,708,386,354,504,903,379,373,267,638,816,330,281,495,366
LRRC4B,0,0,0,2,0,0,0,27,0,0,0,0,0,0,0,0,0
PDLIM4,0,0,0,0,0,0,0,178,4,240,0,501,0,4,0,3,0
KIF3A,11,2,4,10,7,2,9,15,12,9,4,7,6,2,3,5,7
MGAT1,1112,966,922,2294,1311,933,1787,3567,964,715,788,1454,654,634,1096,1604,548
GFPT2,0,0,0,4,0,0,0,34,3,89,0,138,0,0,0,0,0
TUBG1,496,245,121,76,95,181,113,403,164,438,53,981,907,159,124,217,216
PSME3,218,161,144,323,207,148,234,425,258,215,125,340,185,86,137,227,150
RPL27,8163,9325,12558,10745,13522,8818,15954,34630,9264,15683,14686,21734,8429,4750,11394,15909,7508
PSMC3IP,28,19,21,33,27,8,31,47,15,89,6,132,39,6,9,15,12
AOC3,18,16,4,13,19,11,28,18,24,6,4,7,6,12,7,14,6
ACLY,127,127,144,217,157,86,173,251,136,279,55,552,113,61,94,160,73
VPS25,271,189,302,286,249,304,526,880,218,385,194,649,237,191,223,386,337
RAMP2,4,4,0,0,17,5,0,727,5,33,0,140,1,1,4,4,10
AOC2,52,24,28,80,65,29,85,41,59,16,24,28,34,20,16,51,18
G6PC,0,0,0,2,1,1,1,8,1,1,1,1,2,1,1,1,4
AC091132.1,8,2,18,25,4,2,6,4,7,7,1,21,9,6,17,12,8
NDUFA2,1050,774,761,546,770,686,913,959,742,1425,719,1829,892,716,622,800,713
ANKHD1,251,190,187,559,305,138,258,653,249,214,147,278,269,144,167,312,256
DIAPH1,474,452,178,344,262,275,278,900,343,206,141,368,229,236,221,322,303
NDFIP1,217,142,200,359,244,114,270,563,199,221,178,251,219,89,180,322,109
UBE2D2,807,403,330,720,687,301,685,1019,341,723,435,1107,700,335,339,603,334
EXOC4,183,108,117,139,236,65,228,381,111,102,75,158,138,42,75,169,61
ACAP3,222,147,155,327,265,186,352,743,240,127,135,211,144,140,137,267,94
C1orf159,55,74,85,156,49,90,86,255,61,64,40,94,61,35,44,85,57
ANO1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
PPFIA1,123,63,57,213,156,57,136,194,85,50,28,88,88,54,76,92,43
TMEM204,278,95,342,300,327,290,256,560,175,98,193,73,156,141,212,485,92
KREMEN2,2,6,5,3,3,4,1,31,6,9,3,18,1,2,1,5,2
THOC6,198,161,203,187,181,178,235,695,149,212,121,346,145,141,127,237,150
TRAF7,205,268,205,335,259,227,238,534,239,278,122,469,316,172,272,305,151
BARX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NINJ1,1229,886,700,3426,866,988,1417,1795,764,562,668,866,741,714,912,1336,1139
CA6,52,37,111,106,212,49,148,201,15,30,58,28,63,49,65,91,50
NPHP4,14,13,9,20,14,13,18,42,13,24,7,41,6,5,11,20,4
MAP1B,0,0,0,0,0,0,0,13,0,20,0,53,0,0,0,0,1
RHOXF2,0,0,1,3,0,1,1,4,0,0,1,0,1,1,0,0,2
IL13RA1,237,97,91,455,212,101,237,259,196,153,98,265,117,63,148,221,47
WDR44,28,17,23,29,36,10,36,37,37,25,13,32,19,7,18,30,10
CKMT2,0,1,5,14,3,11,0,4,2,0,4,3,4,1,10,12,0
ZCCHC9,60,59,50,79,87,31,78,171,42,80,66,96,62,20,35,88,24
KRT34,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0
KRT33B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNS4,1,1,0,2,0,0,2,260,0,2,1,3,0,0,0,1,2
TOP2A,34,50,11,9,13,11,27,62,79,68,9,136,119,13,4,13,57
STARD3,325,241,331,860,389,371,491,1074,455,401,282,550,239,230,281,497,248
RARA,777,705,499,1610,836,743,846,1356,831,369,379,427,503,457,627,863,585
PPP1R1B,1,1,0,1,0,1,7,35,2,1,0,2,1,0,0,1,2
KHDRBS3,12,1,1,5,6,2,6,21,9,12,9,19,6,2,1,6,6
CHD1L,60,26,95,39,43,25,51,115,34,32,15,87,56,16,38,35,16
PEX11B,149,101,134,178,132,133,200,315,110,118,106,216,93,54,121,169,83
FMO5,25,19,20,54,31,26,24,47,21,15,8,26,18,4,19,26,11
PIAS3,49,59,39,95,81,46,65,142,63,160,32,270,51,38,58,58,20
PRKAB2,51,17,36,36,49,21,62,65,25,40,20,66,35,10,36,47,9
ENSG00000131795,249,133,154,62,169,78,155,299,139,220,119,502,123,41,37,173,98
CLUHP3,74,54,95,139,135,59,122,212,42,55,39,33,74,42,75,102,41
FSHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHA1,787,465,510,564,402,252,612,1187,307,772,224,1241,829,231,230,506,488
RAI2,2,2,0,1,2,1,2,25,3,1,0,1,0,0,1,1,3
MCCC2,47,56,72,108,87,66,87,205,59,72,36,108,50,31,54,81,40
ZNF304,29,21,26,21,36,12,30,47,19,16,9,23,28,6,19,32,9
ZSCAN5A,89,93,63,46,85,71,79,129,61,111,53,67,128,43,72,60,74
ZNF132,5,6,6,6,9,3,12,14,10,4,3,6,4,3,4,15,1
USP29,4,0,0,8,0,2,13,21,0,0,0,0,0,3,5,0,4
SELENOS,120,66,57,114,82,79,165,287,48,135,60,267,78,30,65,110,75
CHSY1,55,79,46,93,79,69,97,138,112,77,24,101,36,15,53,87,18
SNRPA1,104,40,90,136,89,98,198,353,73,126,100,273,112,61,67,127,61
KRT17P1,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,6,2
LLGL1,11,17,20,40,21,22,45,71,23,90,13,158,17,9,23,27,15
NR0B2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LIN28A,1,0,1,3,1,0,1,4,0,1,0,0,1,1,0,2,2
THAP1,31,21,37,46,56,17,75,53,42,29,22,41,81,6,37,41,33
RHPN2,107,38,84,244,167,79,300,250,151,104,76,178,133,40,64,91,99
C19orf12,31,35,97,118,102,68,114,140,71,87,28,134,22,21,41,93,5
FAAP24,12,10,9,33,10,17,22,48,7,15,12,42,12,10,7,16,21
LRRC9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ACTR10,1123,444,443,446,451,180,765,839,479,929,331,687,1028,271,356,455,257
ABHD12B,403,186,64,396,136,107,173,339,185,95,88,83,113,42,66,148,192
GCH1,70,43,61,146,69,34,101,103,53,62,39,96,58,25,43,75,20
LGALS3,3487,13474,7561,13250,8636,18764,12790,2340,14537,7154,14855,6532,11004,9121,11737,9563,5059
UBE2L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PODNL1,7,2,9,8,1,8,6,32,23,49,7,85,8,13,3,4,9
DNAJB1,904,399,302,579,1012,322,597,1195,574,636,417,1058,753,432,317,584,609
ZSWIM4,15,23,15,28,20,10,22,61,17,38,5,82,9,12,14,16,18
FBXW9,11,13,26,19,16,17,27,69,12,19,23,47,13,9,19,28,8
RFX1,137,150,88,132,84,81,100,302,134,70,44,107,144,71,51,83,92
ZNF20,37,19,12,21,20,15,22,54,7,39,11,20,16,51,16,39,26
C19orf57,16,4,7,7,1,12,4,17,3,3,14,9,20,2,4,4,8
DCAF15,209,212,204,483,283,252,408,797,316,209,129,398,239,172,235,316,165
CC2D1A,70,75,47,144,79,105,90,357,69,124,46,228,145,71,56,83,152
RTBDN,1,0,0,1,0,0,1,0,1,3,0,11,0,1,0,0,0
MATN3,0,0,0,0,1,0,0,1,0,12,0,31,0,0,0,3,0
TRIM21,375,263,198,837,298,299,367,661,295,252,181,325,432,204,204,319,374
SPATA6,8,8,26,19,19,7,10,17,6,1,4,5,8,3,6,11,4
LRRC41,62,41,29,97,48,29,46,115,37,67,39,172,52,47,37,61,44
CCT6B,4,2,1,8,1,2,3,5,3,1,10,8,3,2,0,2,1
DHX30,134,118,111,196,155,114,149,418,120,190,52,332,145,68,98,163,91
RAF1,603,470,552,1509,935,481,1039,949,723,464,389,683,519,258,460,912,254
SLC6A11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PPARG,4,1,1,4,4,0,1,39,2,1,2,8,1,1,1,3,1
NUP210,136,216,191,206,343,121,260,521,174,90,83,108,153,91,165,223,73
FCRLA,188,85,377,131,132,129,146,692,204,150,104,175,100,73,114,117,158
HSD17B7,40,37,38,98,73,37,55,117,35,53,31,51,52,16,22,32,32
ENOSF1,115,42,68,216,76,42,99,393,76,92,49,124,153,36,46,145,76
EMILIN2,85,106,45,98,116,76,102,187,99,46,74,52,59,74,76,109,84
SLX1A,1034,752,901,1224,975,1186,1419,2743,749,758,740,862,735,652,515,976,719
ARFIP2,134,100,125,186,111,126,169,480,122,234,76,435,150,60,102,175,83
TRIM5,57,38,47,91,53,30,51,116,51,57,21,77,77,23,36,55,29
CNGA4,5,2,5,4,11,0,9,7,6,3,3,1,2,2,0,7,3
TRIM22,493,239,444,1331,535,325,639,966,439,378,235,442,357,123,230,572,132
RRP8,136,75,76,91,106,73,137,190,57,109,69,175,149,76,59,103,103
TIMM10B,63,38,57,69,61,27,58,120,42,61,54,116,61,18,38,69,23
EFR3A,38,34,54,76,71,30,71,89,51,50,27,48,37,14,37,60,14
HHLA1,21,10,10,49,10,15,14,55,12,12,12,8,49,12,12,14,57
PTCD3,91,75,129,190,200,75,197,248,106,126,51,199,168,33,126,189,37
IMMT,197,176,172,238,176,121,218,558,153,218,109,302,211,96,106,194,129
MRPL35,102,116,64,77,68,43,127,203,71,90,33,136,137,34,54,98,28
IQCA1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1
ILKAP,215,175,200,225,202,142,252,482,157,156,135,194,283,71,92,242,74
PER2,13,9,10,20,17,8,22,29,13,16,5,16,10,6,9,15,17
RAMP1,15,13,3,9,31,23,42,95,5,146,12,262,3,19,23,0,21
SCLY,71,51,68,107,55,54,66,220,33,47,27,59,82,34,33,76,52
PTPRE,257,243,180,569,300,145,331,234,341,131,135,153,172,103,213,254,167
RAN,837,394,470,433,484,307,645,1338,489,749,324,1267,566,240,251,708,325
PRKAA1,111,101,100,165,172,46,213,123,120,81,41,83,83,52,75,111,35
CARD6,65,27,21,59,34,22,53,62,39,23,22,32,30,16,24,38,25
RAP1GAP2,88,103,77,319,141,112,194,255,229,56,41,85,75,68,87,103,57
CLUH,47,32,102,82,101,62,86,261,83,69,34,135,43,32,56,79,52
INPP5K,2145,1141,1122,1940,1702,1221,1433,1157,1344,1536,822,1946,2247,1575,1568,1427,1204
MYBBP1A,102,98,130,127,89,118,104,405,87,126,59,200,79,55,83,120,53
RPA1,531,187,261,211,275,153,226,344,230,454,113,890,357,161,162,245,167
SERPINF1,187,195,360,201,332,272,354,1907,157,381,301,709,217,184,232,408,191
UBE2G1,222,127,138,226,204,120,280,310,176,235,108,396,205,55,127,224,98
EEFSEC,11,16,76,122,10,18,52,155,18,15,38,18,35,22,35,46,17
TBC1D14,155,142,148,286,231,111,236,245,216,129,83,131,94,60,143,195,64
TMEM128,29,24,46,45,66,27,71,81,25,55,46,78,22,8,36,68,16
COQ3,43,18,7,8,13,9,20,19,16,23,16,28,16,2,1,10,8
PNISR,348,297,316,676,517,145,568,1025,412,344,225,336,413,102,219,406,203
POPDC3,0,0,0,0,0,0,0,3,1,19,0,29,0,0,0,0,0
SEC61G,975,474,644,729,822,449,1063,2146,444,1010,409,2072,905,345,344,766,577
LANCL2,34,20,29,23,17,31,19,103,22,32,28,65,54,18,17,32,31
FIGNL1,4,5,11,2,5,3,7,8,4,7,3,10,6,2,3,4,1
DDC,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
FTHL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRSF1,377,95,140,173,196,91,189,304,189,236,85,354,308,112,126,221,55
ENAM,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,2,0
JCHAIN,126,89,283,541,129,76,273,985,113,171,169,209,79,46,118,135,189
ANKRD17,83,62,36,79,70,47,53,144,54,33,22,52,70,31,36,59,36
UTP3,138,51,70,142,82,66,103,262,77,105,68,195,171,34,52,96,55
ITGB4,3,4,2,12,1,10,4,309,27,52,2,81,3,8,2,2,5
WBP2,5371,6201,2664,6666,3131,3212,3447,3865,5003,2409,1428,4133,6774,5443,4616,3870,7126
H3F3B,7969,6298,5241,9420,7508,7378,10193,6431,7156,4789,3948,6637,3388,2716,5118,8373,3553
UNK,87,101,97,189,102,77,131,287,108,141,32,179,117,36,70,114,40
TRIM47,12,16,19,39,40,9,29,90,12,70,24,108,16,15,19,57,23
ZRANB2,214,155,268,318,310,113,435,451,257,175,144,240,183,56,185,348,47
EIF5A,4435,2782,2119,2287,1786,1748,2232,4903,1857,2846,1726,5083,5347,1376,1634,2388,3052
KDM6B,311,304,179,847,358,234,527,397,541,151,170,206,268,161,170,258,301
CLEC10A,48,74,135,52,98,93,75,186,39,33,73,54,65,46,83,81,26
SLC52A1,1,0,1,4,1,1,5,24,2,1,2,2,2,3,1,4,1
GUCY2D,7,0,0,7,0,0,7,18,3,0,1,7,3,1,3,6,0
GPS2,1329,1359,926,1835,1161,974,974,2581,1014,1010,631,1512,3045,1453,869,969,2909
XAF1,148,119,168,719,285,168,226,504,237,130,63,235,208,96,97,186,81
DLG4,13,15,9,29,22,12,22,101,28,45,10,95,16,9,15,26,13
RIDA,127,118,97,40,155,115,72,66,188,362,62,178,166,107,56,126,55
VPS13B,84,57,48,88,53,40,59,91,66,30,17,47,129,17,32,60,39
RGS22,1,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0
MATN2,3,2,10,4,3,20,34,147,15,109,4,183,4,7,3,2,18
REEP2,4,0,4,50,16,0,7,39,9,102,0,219,9,7,1,0,4
PCBD2,35,10,39,38,70,8,121,101,18,20,12,48,29,27,13,30,27
SDF2,364,224,281,319,366,270,436,584,275,362,236,462,177,160,230,327,191
FLOT2,3557,2696,1708,3694,2124,2151,3039,3755,2533,1886,1442,2242,2664,2660,1673,2731,7856
ERAL1,487,212,205,363,207,233,257,742,240,302,213,686,1480,255,229,270,1021
PRMT7,117,90,108,261,120,159,171,540,66,159,81,304,97,70,98,148,67
NIP7,60,37,63,56,91,29,78,82,44,104,52,163,37,13,40,85,25
TERF2,63,49,44,116,56,52,67,160,64,102,31,176,61,37,34,71,51
VPS4A,168,179,176,256,238,180,203,498,134,198,113,277,178,112,120,252,131
MTSS1L,23,30,22,18,33,27,13,182,20,137,5,206,34,15,15,17,10
HSPA12B,1,0,0,3,1,0,3,67,0,3,0,3,1,2,0,0,1
ANKEF1,5,2,4,8,8,3,8,11,3,3,4,3,3,1,4,5,1
SCP2D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCED1A,191,152,263,275,242,207,304,1028,206,180,132,299,160,117,225,255,155
SNAP25,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0
BTBD3,6,12,8,7,42,3,9,37,11,9,5,20,4,2,11,10,6
PCNA,304,213,194,167,153,138,493,612,242,877,145,1798,376,112,102,297,174
NXT1,100,44,97,91,101,56,122,296,57,164,71,334,51,48,64,120,50
POLR3F,23,16,20,38,29,20,37,62,35,25,13,27,37,9,24,22,12
RIN2,10,23,18,12,21,8,16,19,12,20,9,32,8,7,13,22,6
PTPRA,187,168,157,223,208,117,249,413,161,189,102,359,230,85,151,285,94
SSTR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAP3,594,361,460,781,490,309,630,1004,312,447,305,804,483,188,291,598,324
RHBG,0,1,0,5,3,0,1,17,0,3,0,0,3,0,0,1,3
KHDC4,187,123,184,198,216,80,203,309,180,162,71,248,253,36,122,180,61
ATP1A4,0,1,0,4,2,2,1,14,9,1,0,1,3,2,1,1,5
NES,0,0,0,0,0,0,0,27,0,6,0,8,0,0,0,0,1
BCAN,4,0,0,1,3,0,0,5,16,11,0,64,0,0,0,0,0
CRP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARHGEF11,101,146,89,303,240,83,192,252,188,72,24,101,96,50,87,136,61
RAB25,36,42,49,3,21,38,60,209,41,4,41,22,53,37,19,46,18
HAPLN2,0,0,0,0,0,0,3,16,1,0,0,3,0,0,0,3,0
APCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRL2,37,17,56,31,30,20,47,120,43,19,20,29,12,11,28,23,13
DCAF8,2457,740,926,888,967,581,1268,1330,981,562,369,1220,2476,421,589,1252,631
SYT11,17,15,13,41,16,15,18,39,14,25,7,43,12,7,13,16,10
IGHMBP2,72,32,35,52,56,47,76,93,40,45,17,141,53,26,26,62,49
ACY3,5,9,24,7,4,21,15,26,11,3,7,6,5,7,13,9,58
ALDH3B2,1,0,2,0,3,0,1,60,0,0,0,1,0,0,0,1,0
TESMIN,71,49,26,50,34,30,153,92,56,34,17,41,39,24,11,70,96
MMACHC,7,8,4,21,8,4,17,22,4,7,2,12,23,2,6,9,16
DPH2,77,73,110,101,75,121,112,325,84,86,47,146,64,46,72,114,33
TOE1,48,24,24,60,40,39,42,185,30,49,18,107,35,22,20,52,35
NASP,298,204,292,296,300,176,372,801,200,426,208,665,268,140,183,331,235
MUTYH,145,70,119,201,106,99,145,476,88,110,87,179,117,61,70,166,120
CTNNBL1,223,199,199,239,176,152,232,574,152,338,176,482,166,174,159,265,241
LPIN3,3,0,1,2,0,2,4,26,2,0,0,2,1,0,0,1,2
ZSWIM3,13,12,18,32,18,13,22,29,8,12,13,16,12,6,7,24,10
RBM38,46611,15809,17210,19893,20173,32546,28565,11609,25638,18573,17708,15080,52271,27304,27955,29288,28637
VSTM2L,15,3,10,4,3,9,6,1,11,10,14,3,11,24,7,10,5
OSER1,1252,290,393,644,487,295,528,580,430,554,321,1050,1634,415,346,469,525
SERINC3,999,530,490,607,667,299,499,680,630,601,209,903,1422,376,448,762,447
PPP1R3D,78,40,45,96,74,31,108,77,87,50,36,66,40,26,32,68,37
DMGDH,0,3,0,0,0,1,0,13,0,5,0,3,2,0,0,0,0
BHMT2,1,0,2,1,1,1,3,3,2,0,0,5,0,0,0,0,0
AP3B1,100,75,66,162,85,47,112,196,78,90,80,124,76,37,50,73,43
ZBED3,6,8,7,16,10,6,9,29,10,11,5,14,7,3,10,16,8
PATJ,8,5,2,30,19,1,14,20,3,15,8,13,10,10,4,9,19
KANK4,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
ANGPTL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC14A2,1,1,1,3,1,1,3,4,1,1,0,1,3,1,1,2,4
FBXO44,91,166,139,295,117,174,215,420,109,99,77,166,72,77,125,127,113
RSG1,11,10,46,15,33,14,24,34,6,10,1,19,22,7,13,13,26
CASP9,126,75,62,131,92,61,88,141,67,72,56,113,82,61,62,106,64
NMUR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCTN4,321,194,158,147,206,64,180,193,186,216,83,230,336,81,125,232,112
PDE6A,3,1,1,3,3,1,3,5,2,1,1,1,3,1,3,1,2
ATP8A2,1,1,1,1,4,1,4,7,0,2,1,1,1,1,1,5,0
MTUS2,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0
ZMYM5,29,16,22,36,36,13,40,41,20,25,15,24,43,8,21,35,14
USPL1,33,8,30,33,41,9,31,35,27,21,12,17,44,6,25,32,4
XPO4,14,12,14,20,22,7,18,42,14,10,10,18,12,4,11,17,10
TPTE2,0,0,0,1,0,1,0,3,1,0,1,0,0,0,0,1,0
POMP,245,130,156,190,133,167,216,435,216,309,198,678,246,74,111,197,145
CDK8,147,83,94,78,93,62,120,74,128,117,61,121,202,51,98,114,67
ALOX5AP,3367,1845,1084,6261,2927,1629,5251,5578,3330,1100,1431,1699,3335,2210,1455,2663,5291
HMGB1P5,40,199,24,230,18,107,21,132,12,54,20,41,443,23,104,46,20
WASF3,0,0,0,0,0,1,1,1,0,6,0,10,0,0,1,0,0
RNF17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GPR12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRM3,33,16,8,12,8,3,14,36,5,22,7,7,11,9,9,21,0
MYH8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYH10,34,39,14,26,31,12,20,73,21,59,4,115,102,9,7,34,20
PEMT,186,426,210,452,110,383,251,1465,175,434,272,951,302,172,154,333,673
SCO1,56,22,56,113,59,24,56,106,39,72,29,94,33,17,21,73,24
MPRIP,182,137,219,262,209,158,202,479,140,261,134,385,218,97,189,201,86
CHI3L1,2256,645,408,837,1417,887,3765,1819,2239,430,489,713,1935,884,738,735,3566
MYBPH,10,6,4,9,16,13,23,25,11,3,9,2,18,6,9,9,9
PIK3C2B,41,30,107,44,45,29,64,152,40,29,15,44,24,16,50,69,9
DSTYK,40,15,16,21,18,10,28,35,23,18,10,40,38,10,12,23,17
CHIT1,637,18,22,102,109,85,1045,311,108,60,9,204,89,7,54,110,205
SLC41A1,44,32,34,41,47,23,34,106,37,72,14,111,71,15,25,47,28
LGR6,2,14,3,15,7,13,20,19,6,2,2,9,3,3,7,4,5
TMCC2,30040,4932,3372,950,2842,2860,5621,3610,8006,3967,1976,8352,21481,3751,2715,5839,7140
DCLK1,5,0,7,21,3,3,3,3,0,0,6,0,6,9,7,6,0
CCNA1,1,0,0,2,1,0,2,4,2,0,1,1,3,0,1,1,2
COG6,15,12,28,25,26,11,36,43,24,26,13,33,16,6,17,28,8
SPART,196,80,83,234,106,53,271,392,163,124,49,187,332,35,44,107,124
RXFP2,1,2,0,2,2,1,3,5,2,2,1,1,0,1,0,1,1
EPSTI1,183,61,97,592,67,87,83,336,75,107,42,282,241,40,34,68,30
TRPC4,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0
POSTN,0,0,0,0,0,0,0,167,0,12,1,25,0,0,0,0,0
RFXAP,12,8,10,17,14,6,19,34,14,21,4,31,19,3,8,18,3
TPT1,65826,47863,48567,41203,75006,31878,62516,80651,37943,64437,50281,66984,69832,21555,36227,45158,27524
GPALPP1,69,55,63,111,53,30,79,162,59,54,41,82,56,29,46,102,37
STOML3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL,3,1,1,0,2,1,5,9,3,1,0,1,1,0,1,2,0
RFC3,47,19,22,22,12,5,21,51,24,50,7,92,42,10,14,26,5
STARD13,0,0,0,0,1,0,0,35,1,14,0,16,0,0,3,0,0
IRS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORC4,5,5,9,17,15,5,8,91,7,19,7,26,15,3,7,11,6
BEX2,43,21,36,30,69,33,51,187,24,59,53,52,22,10,7,22,47
RNF128,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
GNG5P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D8B,3,1,1,7,2,1,5,6,2,7,3,7,6,1,1,3,2
TCEAL4,27,29,24,108,50,39,39,248,34,101,26,182,23,18,15,37,39
BEX1,127,36,5,68,7,14,35,57,17,27,37,79,115,7,2,5,98
FAM104A,3217,1356,1418,951,1390,582,1284,1049,1843,1830,1294,2350,3500,1028,925,1140,2432
SLC39A11,88,43,59,73,79,88,87,177,71,78,37,91,44,41,53,81,33
EPHB2,10,2,3,18,4,3,2,16,4,35,0,79,2,1,2,2,3
SRRM1,168,182,213,343,237,128,232,576,216,154,59,236,220,86,158,244,183
BTBD2,270,315,386,545,339,344,514,1370,285,441,253,773,226,187,314,421,310
PRAM1,855,640,412,1084,452,436,1154,1629,866,273,232,341,329,590,384,565,1243
KMT5C,72,68,86,114,62,93,139,268,133,64,64,166,146,47,89,92,47
ZNF414,123,171,187,195,96,144,180,719,163,160,61,190,115,121,149,167,188
PDE6B,31,47,86,81,51,77,114,209,45,19,91,49,15,38,37,98,31
HSPBP1,146,134,103,100,79,123,134,363,87,141,74,266,105,76,105,161,123
CSNK1G2,697,537,857,1449,685,837,1212,1684,713,616,465,916,537,350,859,911,453
SLF1,41,28,24,72,33,33,27,75,48,68,11,49,28,7,12,29,5
CNDP2,308,360,310,612,366,356,400,1110,250,258,191,539,223,258,288,456,295
MACROD1,24,18,29,60,26,15,37,191,19,153,10,289,10,15,30,69,20
WDR74,253,175,232,422,213,208,342,777,191,280,235,390,287,183,146,311,267
LGALS12,92,32,28,42,67,69,118,186,66,65,42,35,21,29,33,42,100
RTN3,1628,982,497,1902,1251,700,1641,1551,1444,745,535,1016,788,650,563,1164,954
RARRES3,363,540,535,1307,524,685,975,1336,315,505,736,681,364,456,532,730,591
HRASLS2,0,0,0,2,0,0,0,0,0,7,4,14,2,0,2,2,2
MYH11,34,26,9,45,36,17,15,140,22,25,2,23,43,11,13,26,36
FOPNL,114,20,67,6,115,20,87,32,75,64,53,113,130,27,57,50,11
MED10,140,67,95,148,157,54,131,294,122,97,55,185,107,58,67,151,61
PDZD2,0,5,2,3,11,8,7,85,1,3,1,5,3,1,5,5,6
MORC2,106,83,48,114,76,50,88,236,77,97,40,99,254,52,56,96,126
LARGE1,4,1,2,13,1,14,2,7,6,1,1,2,0,1,0,1,1
GSTT2B,7,0,0,0,0,0,0,4,1,8,0,27,0,0,0,1,0
MYO18B,10,2,5,0,2,3,0,10,1,5,0,4,12,5,1,3,7
SLC2A11,58,66,83,117,67,49,95,527,44,45,54,93,29,24,35,97,40
C1QTNF6,62,47,94,43,73,49,88,416,29,59,42,83,38,42,71,62,30
GGT2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FAM83F,17,17,10,1,10,13,11,7,7,22,7,12,26,6,11,64,15
SEC14L4,165,110,82,21,106,37,57,52,59,84,79,83,284,94,102,149,108
