"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2030","STC1",1079.7604943647,-5.05881612169148,1.15495287805717,-4.38010607861447,1.18621548872934e-05,0.000761909803003248
"2031","STEAP1",71.1008148762434,2.60356621334724,1.12713841699438,2.30989040395756,0.0208942224724261,0.133468363104826
"2032","STEAP4",812.216838328256,2.96257811959583,1.08926035469444,2.7198071671551,0.00653199959565783,0.0715145988789067
"2033","STK16",20.3596324845095,-4.39902236485592,1.90076557595888,-2.31434239997572,0.0206489477431596,0.132918912981101
"2034","STK19",23.7415447993902,-4.625886242795,1.85911645876833,-2.48821757291077,0.0128385163416644,0.102688751840724
"2035","STK24",661.052439095306,1.93605578741174,0.881492079805057,2.19633940198294,0.0280676594941953,0.155655485190422
"2036","STK25",82.0368373077737,-2.49862815456864,1.20631760546539,-2.07128549168831,0.0383321242931453,0.184128678376318
"2037","STK38",94.5532743001794,-3.12836215391502,1.50126605284394,-2.08381595519913,0.0371769114596206,0.181526348773254
"2038","STK40",197.745768889243,-2.44866156528938,1.05063471707792,-2.3306497734053,0.0197718346494429,0.130210504189659
"2039","STON1",19.8020812987817,-4.34970674241672,1.97530766173872,-2.20204013109937,0.0276624738315198,0.15414140824937
"2040","STRIP1",37.3824279326373,-3.10523687326672,1.45228619244886,-2.13817144954786,0.0325028306692816,0.169386107121658
"2041","STRN4",502.140273758936,3.18869668767241,0.898219622664725,3.55001895662509,0.000385203412426803,0.0119072276194226
"2042","STT3B",62.61228448696,-2.8787110263486,1.3548339567201,-2.12477035438175,0.0336057796559151,0.173310974595323
"2043","STUB1",35.0883760135277,-5.19064671357914,1.84641250507404,-2.81120643372754,0.00493561079035565,0.060681674195115
"2044","STX11",498.721897660519,2.16942676471783,0.890259918170297,2.43684649891521,0.0148159672107331,0.111757737010213
"2045","STXBP6",24.6923638281252,-3.58938871506465,1.64839572705314,-2.17750425832604,0.0294429644357309,0.159609481887405
"2046","SUGP2",50.6161940019762,-3.91994070228245,1.61720921871407,-2.42389213276895,0.0153551656228628,0.113561790140335
"2047","SULT1A1",38.8085193604323,-5.33426432043481,1.86080476260571,-2.86664373803792,0.0041484972411441,0.0551640825114745
"2048","SULT1B1",44.3487630056642,5.45825088352117,1.38673129559043,3.93605516863827,8.28319389887998e-05,0.00385023197106711
"2049","SUN1",122.5204868887,-2.87282275030487,1.18658527693386,-2.42108410255035,0.0154742967069068,0.113965668172201
"2050","SUN2",140.986740902773,-3.09389730088223,1.18954697901743,-2.60090383604504,0.00929785132390859,0.0862704377158695
"2051","SUPT6H",222.395328961239,-2.51823254836613,1.02389887373601,-2.45945435917669,0.0139148389086414,0.107878173192233
"2052","SURF1",45.7084384153544,-4.50330893264503,1.60529083926901,-2.8052916160013,0.00502710753125831,0.0613793613090732
"2053","SURF6",38.9415133418994,-3.62503119219762,1.485258288287,-2.44067393583004,0.0146598844141681,0.110997594582188
"2054","SUSD3",24.7187304647974,3.10573088704013,1.45033496019401,2.14138869452936,0.0322427058762918,0.168578291503177
"2055","SVIP",19.7371263049151,-4.35469643024187,1.89997774327691,-2.29197233791344,0.0219072394503256,0.136652691992084
"2056","SWAP70",177.998864217714,-2.30070289733681,1.13379731644403,-2.02920121962591,0.0424377994116264,0.192437473049874
"2057","SYAP1",317.823296199279,2.31816722127083,0.917978523843825,2.52529570252258,0.0115600973445703,0.0969255630203765
"2058","SYMPK",57.3419437681907,-2.66878143256224,1.32578600694112,-2.01298054029075,0.0441166765887306,0.195671063721365
"2059","SYN1",209.14019432744,5.57073609365914,0.975870446768849,5.70847914505875,1.13990141903471e-08,1.91756749824284e-06
"2060","SYNE1",261.381803309202,-3.09025222386412,1.10842721303314,-2.78796134516388,0.00530408722052294,0.0630356887917808
"2061","SYNM",108.823884027549,-2.94395114518535,1.32747166923933,-2.21771297527751,0.0265744089844432,0.150526769864847
"2062","SYNPO",323.225792462225,-2.24543914082585,1.1152613776807,-2.01337478887279,0.0440752157995414,0.195606841308015
"2063","SYNPO2L",52.5069930290937,5.85001689437703,1.78663238119553,3.27432602025408,0.00105914337037166,0.024494014195516
"2064","SYT11",29.3122067337988,-3.84195716121445,1.65993221462825,-2.31452653750375,0.0206388573064806,0.132918912981101
"2065","TACC1",439.666557215196,-3.71849705837219,1.15158097025486,-3.22903656314261,0.00124208013537788,0.0274813471288827
"2066","TAF1",36.3590853428919,-5.25039007955145,1.78168328556728,-2.9468705925923,0.00321007510772153,0.0478387893461429
"2067","TAF1D",62.6819799804737,-3.66476079232698,1.47072465867098,-2.4918061791652,0.012709537155675,0.102042177860488
"2068","TAGAP",65.6258506943949,2.75588474617794,1.15867832716067,2.37847268010201,0.0173845250981517,0.120734729351384
"2069","TANC1",68.5220349346032,-3.66692486789662,1.34060415908681,-2.73527785442234,0.00623276401498632,0.0692494171337352
"2070","TANC2",37.0659744398351,-3.55055530906396,1.54468814306925,-2.29855801314634,0.0215300500695568,0.135557248174399
"2071","TAOK3",411.479949053767,3.21314422397445,0.870454959732827,3.69133886601171,0.000223076700454364,0.00820891274796997
"2072","TAP1",264.237892094984,-2.14519651134786,1.01322861346742,-2.11718903595376,0.0342438075418626,0.174646714306381
"2073","TARBP2",19.2144104632174,-4.31182029073845,1.93010874562601,-2.23397790435893,0.0254845269407259,0.14758111492786
"2074","TARDBP",225.767194458591,-2.60328228720771,1.12901709731346,-2.30579527396204,0.0211220744339034,0.134123274326248
"2075","TARP",189.683962846471,6.10301480242059,1.18987153916641,5.12913755941771,2.91072596413168e-07,3.50544020089404e-05
"2076","TARSL2",15.9376787461057,-4.03882514262151,1.96042558687871,-2.0601777336787,0.0393815527403992,0.186261540894357
"2077","TAZ",34.1280657925932,-5.1507048869345,1.84569796723846,-2.79065425565864,0.00526016283919085,0.0628054602113722
"2078","TBC1D16",41.6324266077632,-2.91484490780832,1.40666045037625,-2.0721737836794,0.0382492373608562,0.183953124912731
"2079","TBC1D17",15.9106389101303,-4.03616383053579,1.96191862263531,-2.05725343751225,0.0396618537258524,0.186816144794037
"2080","TBC1D2",52.1987146307618,-2.73251326125251,1.34602424461923,-2.03006243919885,0.0423501928801817,0.192382059213101
"2081","TBC1D22A",52.4994966695581,-2.74587758767991,1.36520775049706,-2.01132581226569,0.0442910537822419,0.196072091889808
"2082","TBC1D2B",71.2632301432768,-3.00233553556275,1.2973026012062,-2.31429084684734,0.0206517735412265,0.132918912981101
"2083","TBC1D9",46.8717640342246,-4.54851053962969,1.54406113827856,-2.94580986909672,0.00322110330218672,0.0478387893461429
"2084","TBC1D9B",103.044612218441,-2.41187942053096,1.1901782057736,-2.02648595717082,0.0427150103398434,0.192659463065978
"2085","TBCD",84.2322989871334,-6.46832207717325,1.73208328860932,-3.73441746116415,0.000188150182551722,0.00722469432856213
"2086","TBP",20.7448222461081,-4.42766377147568,1.88886466433172,-2.344087353152,0.0190737035920793,0.127615600169732
"2087","TBRG4",54.6568725583363,-3.6774774331094,1.39488644406287,-2.6363991483049,0.008379110377407,0.0817715857771139
"2088","TBX2",61.1843585347153,-5.99006092149366,1.86990760748304,-3.20339940728756,0.00135815477581986,0.0289465916079348
"2089","TBX4",28.3253889109225,-4.87624391161204,1.89132672862593,-2.57821339793294,0.00993126454983029,0.0896373672443425
"2090","TCEA3",21.6564595091755,-4.48096184818724,1.9575382896653,-2.28908005112554,0.0220747016660259,0.136971714435915
"2091","TCERG1",71.3214295357237,-6.23049785805543,1.71698946588504,-3.62873388675328,0.000284814644140569,0.00958243047175159
"2092","TCF21",122.911056708762,-4.27160733029616,1.35762450333719,-3.14638349543344,0.00165303103741827,0.032263025662171
"2093","TCF25",128.168320402797,-7.07939351814068,1.68898723777032,-4.19150207877614,2.77113648685675e-05,0.00157050826137475
"2094","TCF7L1",18.893973560028,-4.28597489144734,1.94288227688696,-2.20598795018845,0.0273848434175986,0.153395650390967
"2095","TCN1",30.13860196345,6.71045355719249,1.46936190882892,4.56691677991077,4.94950394355098e-06,0.00038288206418798
"2096","TDRD7",162.251458342747,2.27208486862301,0.976185741760882,2.3275128609485,0.0199379852935766,0.13083762733209
"2097","TEAD3",46.8968399812278,-3.44794760823336,1.4177710455333,-2.43194951617622,0.0150178003407412,0.112479609901891
"2098","TECPR1",36.7791887964806,-5.25734694927647,1.85612617746457,-2.83242972008396,0.0046195720013562,0.0584925018761924
"2099","TEF",20.4179162464526,-4.40410687394919,1.89386494763606,-2.32545983780228,0.0200473850590979,0.131230504543743
"2100","TET2",137.552424932375,2.49782676503486,0.941299069663808,2.65359527650121,0.00796392839812314,0.0802644470908471
"2101","TEX10",58.7926904178625,-2.92677300252362,1.37648594739167,-2.12626435313024,0.0334812544077365,0.172899014265324
"2102","TEX264",34.4637677889371,-5.16788236529345,1.82130126357744,-2.83746707293366,0.00454730368005862,0.057853930853855
"2103","TFEC",367.356517066657,5.71084104990094,0.981692332322926,5.81734303291101,5.97903625988965e-09,1.09251424624673e-06
"2104","TFIP11",54.3787468455825,-5.83693675762573,1.73489689006953,-3.36442862456903,0.000767023207454479,0.0199133014027664
