,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
#CLASS,Control,Control,Control,Control,Control,Control,Control,Control,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected
ENSG00000122550,73,61,141,53,20,75,92,17,109,69,67,63,52,50,116,73,81
ENSG00000122557,255,185,235,759,305,198,411,453,399,213,261,468,428,232,289,483,264
ENSG00000122565,298,166,327,208,74,114,240,92,277,178,184,236,331,107,360,369,278
ENSG00000122566,1708,914,2417,2447,915,1074,2085,1644,2314,1275,1500,2455,2195,1185,2345,4254,1497
ENSG00000122574,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,1
ENSG00000122584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122585,0,3,0,0,0,0,3,0,0,0,0,0,0,10,0,8,3
ENSG00000122591,38,23,95,31,7,25,27,6,48,7,40,25,35,14,46,62,25
ENSG00000122592,1,2,1,0,1,0,1,4,0,1,0,15,4,3,1,8,3
ENSG00000122641,3,1,6,1,6,1,3,37,4,6,1,1,0,1,36,314,7
ENSG00000122642,121,4,226,54,4,22,23,38,50,27,5,88,66,5,77,108,69
ENSG00000122643,147,154,253,317,72,116,159,94,234,82,109,263,199,74,275,190,164
ENSG00000122644,1168,302,2808,3357,886,405,785,812,6841,617,576,141,449,538,549,788,1186
ENSG00000122674,170,59,215,181,45,81,177,36,98,88,98,217,132,33,183,186,106
ENSG00000122678,121,80,177,105,86,97,255,111,158,122,165,274,156,246,194,420,183
ENSG00000122679,0,0,0,1,3,0,0,9,7,0,6,20,4,0,3,68,11
ENSG00000122687,68,42,128,34,29,48,77,28,57,36,53,70,71,48,81,154,42
ENSG00000122691,148,0,319,0,0,0,1,0,0,0,0,1,0,0,0,135,0
ENSG00000122692,36,25,53,25,18,25,44,23,42,28,31,49,40,17,44,77,26
ENSG00000122694,396,589,572,585,407,557,792,523,865,699,495,1017,656,622,1112,1051,704
ENSG00000122696,46,21,60,34,16,41,53,39,64,57,39,45,55,18,63,93,48
ENSG00000122705,537,344,1003,323,272,317,450,430,574,376,371,548,405,414,695,1427,397
ENSG00000122707,19,7,30,8,3,11,21,3,9,12,12,15,20,6,14,29,13
ENSG00000122711,6,0,0,6,0,5,0,0,0,0,0,3,0,0,0,5,0
ENSG00000122718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122729,77,8,172,12,10,9,19,6,15,12,14,33,22,11,23,62,20
ENSG00000122733,1,1,0,3,1,9,1,2,25,0,0,4,15,3,2,9,2
ENSG00000122735,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122741,141,44,171,139,112,184,157,127,612,246,183,170,213,97,273,151,248
ENSG00000122756,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,2
